station_id,station_name,total_departures,member_dep,casual_dep,electric_dep,lat,lng,avg_duration,total_arrivals,net_flow,pct_member
4470.09,Lafayette Ave & Ft Greene Pl,58213,49430,8783,41701,40.68700231292619,-73.97664964199066,10.82,58502,289,84.91
6131.13,E 27 St & Park Ave S,58156,50706,7450,39912,40.74275179648995,-73.9847157150507,10.15,58010,-146,87.19
5929.01,E 23 St & 1 Ave,57828,51313,6515,36614,40.736502,-73.97809472,9.94,58232,404,88.73
7052.01,W 63 St & Broadway,57796,48879,8917,41424,40.77163851,-73.98261428,13.32,57914,118,84.57
7212.05,E 85 St & 3 Ave,57669,49608,8061,44176,40.77801203,-73.95407149,11.86,57992,323,86.02
6498.10,E 47 St & 2 Ave,57394,49841,7553,37331,40.75323098,-73.97032517,12.14,51812,-5582,86.84
5626.06,E 5 St & Ave A,56915,48391,8524,33433,40.72479007746337,-73.98430064320564,9.46,57226,311,85.02
4479.10,Schermerhorn St & Hoyt St,56899,47884,9015,37873,40.6886263,-73.9851911,10.79,52617,-4282,84.16
7360.10,Amsterdam Ave & W 82 St,56742,49496,7246,42636,40.78524672,-73.97667321,12.44,40523,-16219,87.23
5922.07,Perry St & Bleecker St,56683,46846,9837,40138,40.73535398,-74.00483091,11.29,57132,449,82.65
6215.04,W 25 St & 6 Ave,56595,48019,8576,38025,40.74395411,-73.99144871,10.95,56332,-263,84.85
6055.08,E 20 St & Park Ave,56385,49040,7345,37377,40.73827428,-73.98751968,10.39,56595,210,86.97
5779.10,E 14 St & 1 Ave,56248,47660,8588,33762,40.73139303364151,-73.98286700248718,9.81,44348,-11900,84.73
5914.03,W 11 St & 6 Ave,56159,47922,8237,35513,40.73532427,-73.99800419,10.48,56354,195,85.33
5523.02,Stanton St & Chrystie St,56149,46344,9805,37069,40.72229346,-73.99147535,11.78,56873,724,82.54
5788.16,E 11 St & 3 Ave,56035,45529,10506,36463,40.73127,-73.98849,10.04,56348,313,81.25
6650.07,E 55 St & 2 Ave,55852,49147,6705,39157,40.75797322,-73.96603308,12.11,55918,66,88.0
6432.11,E 40 St & Park Ave,55781,46506,9275,41852,40.750756,-73.978326,13.33,54801,-980,83.37
5838.09,Washington Pl & 6 Ave,55628,44967,10661,36863,40.73224119,-74.00026394,11.17,56077,449,80.84
5593.04,E 4 St & 2 Ave,55197,46241,8956,36566,40.7262807,-73.98978041,10.46,55453,256,83.77
5997.10,W 12 St & Hudson St,55137,45975,9162,36386,40.73752993301071,-74.00558933615685,10.85,39451,-15686,83.38
5187.03,Hope St & Union Ave,55057,44887,10170,39924,40.71167351,-73.95141312,11.49,55146,89,81.53
5938.11,E 16 St & Irving Pl,55002,48049,6953,33962,40.735367055605394,-73.98797392845154,9.94,54977,-25,87.36
5453.06,Kenmare St & Elizabeth St,54784,42094,12690,41290,40.72054,-73.9949,13.18,55098,314,76.84
6030.06,W 15 St & 7 Ave,54781,47903,6878,31461,40.73935542,-73.99931783,9.77,54856,75,87.44
6313.10,Lexington Ave & E 36 St,54627,46994,7633,40331,40.7475739589548,-73.9788007736206,10.8,55330,703,86.03
5419.04,N 5 St & Wythe Ave,54526,44772,9754,40809,40.718389,-73.961501,11.95,55249,723,82.11
5406.02,Rivington St & Ridge St,54479,45485,8994,36410,40.71850211,-73.98329859,11.14,54315,-164,83.49
4199.12,Carlton Ave & Dean St,54382,46625,7757,41606,40.6809741,-73.9710097,11.29,54590,208,85.74
